epoch,silu_s_sigma0.01_train_loss,silu_s_sigma0.05_train_loss,silu_s_sigma0.1_train_loss,silu_s_sigma0.5_train_loss,silu_s_sigma1.0_train_loss,silu_s_sigma5.0_train_loss,silu_s_sigma10.0_train_loss,silu_s_sigma50.0_train_loss,silu_s_sigma100.0_train_loss,silu_s_sigma1000.0_train_loss
162,2.38999188,1.56731526,0.90636415,0.03963185,0.01590027,0.00807534,0.00850367,0.0096953,0.00942785,0.01089133
163,2.38291959,1.55641814,0.9022134,0.03904608,0.01470402,0.00684328,0.00825404,0.00941081,0.00881467,0.00946407
164,2.38323676,1.55939504,0.89261735,0.03776299,0.0127251,0.00642194,0.00807149,0.00945743,0.00850402,0.00949508
165,2.38280433,1.5567031,0.88884231,0.03522317,0.01132202,0.00634718,0.00730134,0.00878791,0.00812319,0.00820342
166,2.3798939,1.54744301,0.88124279,0.0334021,0.01192162,0.00623302,0.00776656,0.00745813,0.00822221,0.00803431
167,2.3818752,1.54467778,0.88372105,0.03402018,0.01183502,0.00588972,0.00724987,0.0082562,0.00827557,0.00820081
168,2.37319012,1.5442055,0.8853339,0.03271419,0.01189343,0.00536534,0.00709661,0.00759365,0.00741252,0.00758842
169,2.37374311,1.5475122,0.8793565,0.03351717,0.01082501,0.00598471,0.0073853,0.00721438,0.00744545,0.00756882
170,2.37988602,1.53711404,0.87203915,0.0296347,0.01208178,0.00540531,0.0071023,0.00725869,0.00751954,0.00709827
171,2.37344414,1.539914,0.86650649,0.02963556,0.01190832,0.00448481,0.00583634,0.00599058,0.0067022,0.00721384
172,2.36621173,1.53159396,0.86862078,0.03230263,0.0108334,0.00510614,0.00684195,0.00724177,0.00652488,0.00799095
173,2.37029334,1.53236751,0.86396192,0.02983982,0.010269,0.00427117,0.00652689,0.00669653,0.00657718,0.00677709
174,2.3674911,1.52907456,0.85526369,0.02882863,0.00969906,0.00488671,0.00598468,0.00559213,0.00644657,0.00703325
175,2.37183529,1.53142094,0.86339585,0.02819223,0.01087846,0.0045959,0.00538402,0.00650567,0.00637135,0.00641356
176,2.36408527,1.52289407,0.85260918,0.02720975,0.00995251,0.0044268,0.00518716,0.00605185,0.00596142,0.00572136
177,2.3637097,1.52398493,0.85061211,0.02674337,0.01083104,0.00451812,0.00535511,0.00587036,0.00556178,0.00634659
178,2.36053609,1.51823108,0.84660401,0.02696869,0.00987362,0.00428261,0.00509265,0.00560394,0.00507449,0.00524552
179,2.35658439,1.51514695,0.84244188,0.02605443,0.00861863,0.0042771,0.0046777,0.00474455,0.00507675,0.00529567
180,2.35205733,1.51822806,0.85045136,0.0272288,0.00901188,0.00408465,0.00433158,0.00510627,0.0048584,0.00547023
181,2.36276064,1.51610397,0.84723019,0.02609158,0.00864634,0.00363157,0.00427522,0.00535492,0.00531753,0.00551337
182,2.35823801,1.51353982,0.83893649,0.02470638,0.00814644,0.00379827,0.0047369,0.00489638,0.00508682,0.00555724
183,2.3640485,1.51612695,0.84646,0.02415051,0.00791636,0.0038932,0.00441956,0.00549453,0.00452663,0.00590401
184,2.36361407,1.51682604,0.83779081,0.02503409,0.00791161,0.0035636,0.00451913,0.00504355,0.0047393,0.00453783
185,2.35968279,1.51527158,0.83782573,0.02378076,0.00804836,0.00408958,0.00450488,0.00502713,0.00526766,0.00550602
186,2.3594314,1.50679254,0.83701711,0.02355276,0.00777562,0.00376116,0.0048642,0.0049843,0.00530127,0.00488933
187,2.35965414,1.51173762,0.83654213,0.02297064,0.00825325,0.00326564,0.00420805,0.00411497,0.00455187,0.00484851
188,2.35558666,1.50872971,0.83681375,0.02246937,0.00918696,0.00339387,0.0042313,0.00396366,0.00441771,0.00464561
189,2.35699311,1.50400128,0.82985297,0.02299247,0.00898355,0.00366234,0.00398488,0.00461079,0.00520285,0.00508322
190,2.34979136,1.50416781,0.82743783,0.02349736,0.00785592,0.00361459,0.00402935,0.00470097,0.00431344,0.00464657
191,2.35248008,1.50872842,0.830719,0.02367158,0.0075279,0.00337348,0.00421716,0.00426377,0.00422701,0.00468344
192,2.35179029,1.50203012,0.82890078,0.02284397,0.00813006,0.00328382,0.00408286,0.00438498,0.00487023,0.00417085
193,2.34903136,1.49938908,0.83107554,0.02383364,0.00771092,0.00305597,0.00433123,0.00418645,0.00411713,0.00429244
194,2.35018889,1.49539114,0.82661849,0.0220311,0.00835153,0.00353725,0.00401875,0.00410009,0.00374036,0.00420787
195,2.35545077,1.50617678,0.82524776,0.02406822,0.00723274,0.00315695,0.00418419,0.00426264,0.00441699,0.00435665
196,2.34934238,1.49918253,0.82378874,0.02151338,0.00766399,0.00330346,0.00383126,0.00428684,0.00415339,0.0044357
197,2.35630201,1.50166385,0.82949329,0.02181864,0.00856124,0.0031202,0.00380535,0.00427709,0.00457402,0.00436967
198,2.35460216,1.50141777,0.82286614,0.02304941,0.0074964,0.00342305,0.00400955,0.00409242,0.00404186,0.00469242
199,2.35072108,1.49652393,0.82767939,0.0238091,0.00774059,0.00312581,0.00386202,0.00400227,0.0046964,0.00398809
200,2.35539544,1.50128091,0.82590933,0.02153192,0.00706364,0.00325472,0.0045725,0.0038738,0.00420335,0.00419261
