epoch,silu_s_sigma0.01_train_loss,silu_s_sigma0.05_train_loss,silu_s_sigma0.1_train_loss,silu_s_sigma0.5_train_loss,silu_s_sigma1.0_train_loss,silu_s_sigma5.0_train_loss,silu_s_sigma10.0_train_loss,silu_s_sigma50.0_train_loss,silu_s_sigma100.0_train_loss,silu_s_sigma1000.0_train_loss
130,0.94047463,0.54449927,0.36847125,0.07414455,0.03870384,0.03910195,0.04703788,0.05729411,0.05502536,0.05061282
131,0.94028957,0.54444314,0.3663323,0.07039813,0.03746029,0.03937829,0.04338616,0.05015406,0.05315129,0.04892981
132,0.93874691,0.53883909,0.36551093,0.06783066,0.03800012,0.03645017,0.04529576,0.05051065,0.04961645,0.04855146
133,0.93627878,0.53645329,0.35961308,0.06736844,0.03730535,0.03520628,0.0424889,0.04521631,0.04691929,0.04635003
134,0.93661564,0.53543989,0.36392277,0.06790447,0.03518864,0.03492709,0.04388223,0.04561072,0.04959982,0.04768821
135,0.92885241,0.53169601,0.35221216,0.06662718,0.03275654,0.03444579,0.04316869,0.04725478,0.05031527,0.04808963
136,0.93385666,0.53402076,0.35695375,0.06338205,0.03432462,0.0338309,0.04373496,0.04356808,0.04722437,0.04714727
137,0.93086123,0.52900398,0.35442598,0.06203405,0.03269736,0.03263119,0.04076684,0.0442425,0.04316519,0.04391079
138,0.92809757,0.52772594,0.34978953,0.06143356,0.03218898,0.03142358,0.0426468,0.04148819,0.04434558,0.04086222
139,0.92504291,0.52330537,0.34798736,0.05765044,0.03254111,0.02796843,0.03690927,0.0398538,0.04304922,0.04308061
140,0.92456342,0.52253434,0.34372419,0.05824276,0.03241728,0.02731842,0.03773223,0.04035287,0.04398639,0.0420001
141,0.9249927,0.52165275,0.34432143,0.05518167,0.02936599,0.02760447,0.03571306,0.0385349,0.04113638,0.03946436
142,0.92419503,0.5198895,0.33998041,0.05685869,0.02953933,0.02711543,0.03478661,0.03694721,0.03808777,0.03889586
143,0.91856432,0.51884023,0.33864428,0.05372616,0.02808561,0.02782198,0.03293486,0.03833743,0.0398125,0.03921492
144,0.91929556,0.51627425,0.33781911,0.05272802,0.02708237,0.02531946,0.03448324,0.03482735,0.04049656,0.03571569
145,0.91444105,0.50593694,0.33500553,0.05142681,0.02535958,0.02689505,0.03223797,0.0352802,0.03792228,0.03677558
146,0.91450907,0.50823914,0.33454173,0.05006102,0.02568981,0.02294338,0.03152431,0.03334951,0.03478366,0.03251529
147,0.91645569,0.50853992,0.32536577,0.04639539,0.02427971,0.02344274,0.03070266,0.03284582,0.03332976,0.03311258
148,0.91261091,0.50415436,0.32811042,0.0495158,0.02339422,0.02344424,0.02960306,0.0336315,0.03556774,0.03333376
149,0.92070655,0.50653359,0.32947135,0.0503575,0.02311196,0.02304044,0.02877218,0.03356288,0.0361483,0.03239097
150,0.91275039,0.50507251,0.32808669,0.04604113,0.02349301,0.02176752,0.02760613,0.02945621,0.03093649,0.02980417
151,0.91077925,0.50421799,0.32813966,0.04603736,0.02097653,0.02120635,0.02745264,0.02980586,0.03309854,0.02968206
152,0.91455201,0.49980532,0.3211139,0.04304371,0.02219154,0.01974643,0.02709108,0.02863861,0.03199496,0.02891635
153,0.90938361,0.49916474,0.32103092,0.04276704,0.02102314,0.01878813,0.02509542,0.02740014,0.03002327,0.03025165
154,0.90885995,0.49340265,0.31712278,0.043402,0.02044855,0.01974556,0.02472372,0.02646475,0.02826831,0.0283819
155,0.90540697,0.49143284,0.31583945,0.04021777,0.01894161,0.02085023,0.02266561,0.02811326,0.03000998,0.02547029
156,0.91077275,0.49395725,0.31804414,0.03976252,0.01857524,0.01821098,0.02375381,0.02706128,0.0281151,0.02923219
157,0.90328735,0.49210947,0.31547864,0.04028455,0.01900015,0.01819601,0.02284078,0.02337489,0.02769053,0.02611407
158,0.90775051,0.48845196,0.31170091,0.03837251,0.01771924,0.01717626,0.02057666,0.02473474,0.02491166,0.02442106
159,0.90625699,0.48765835,0.30947716,0.03665973,0.0170674,0.01652812,0.02374213,0.02399422,0.02598855,0.02543806
160,0.90307319,0.48529679,0.30978986,0.03699967,0.01786205,0.01561727,0.02056225,0.02369625,0.02549369,0.02312355
161,0.90275519,0.48746318,0.30537906,0.03898313,0.01579857,0.01562066,0.02141463,0.02279941,0.02665016,0.02437648
162,0.90186345,0.48861417,0.30759618,0.03384685,0.01699552,0.01415004,0.0212064,0.02287157,0.02529232,0.02343745
163,0.90093251,0.48307931,0.30310922,0.03531805,0.01600861,0.01468842,0.02172906,0.02269968,0.02399761,0.02439305
164,0.89658596,0.48083844,0.30212738,0.03452459,0.0153389,0.01503157,0.01820078,0.02155406,0.02316758,0.02160039
165,0.89792166,0.47900789,0.30204503,0.03206446,0.0166538,0.01429855,0.01751255,0.02033204,0.02154639,0.02180265
166,0.89594628,0.47556781,0.30021641,0.03160399,0.01393189,0.01429474,0.01798595,0.0201814,0.0230983,0.02092129
167,0.89733927,0.48229056,0.30194758,0.03107365,0.01314936,0.01389717,0.01883513,0.0213568,0.0206861,0.02050225
168,0.89919293,0.47764223,0.2994698,0.03008952,0.01429946,0.01392329,0.01771441,0.02156781,0.02113647,0.02099941
169,0.89262873,0.47450792,0.29779009,0.03032287,0.01351118,0.01509308,0.01784349,0.019797,0.019526,0.01831285
170,0.89401468,0.46990787,0.29363844,0.02888557,0.01258026,0.0124361,0.01629572,0.01945172,0.01912402,0.01873175
171,0.89285899,0.47144427,0.2902717,0.02927359,0.0117984,0.01246423,0.01607656,0.01760231,0.02062432,0.0180223
172,0.89398095,0.47195834,0.29553501,0.02860696,0.01256082,0.01324326,0.01668322,0.01720711,0.02002565,0.0187741
173,0.89080059,0.47027509,0.29129562,0.02831358,0.01267791,0.01238904,0.01554325,0.01838391,0.01973898,0.01881783
174,0.88664987,0.46849828,0.29177588,0.02802296,0.01250309,0.01142761,0.01583914,0.01816776,0.01770116,0.01839145
175,0.88553802,0.46714238,0.28708574,0.02795497,0.01208465,0.01067235,0.01504843,0.01698377,0.01855923,0.01847438
176,0.8890545,0.46867934,0.28739507,0.02846653,0.01047807,0.00977221,0.01578556,0.01522228,0.0178756,0.01673662
177,0.89160811,0.46405903,0.28649398,0.02758646,0.0120029,0.01050896,0.01420361,0.01705255,0.01952644,0.01824988
178,0.88886048,0.46482188,0.28841747,0.02744422,0.01058902,0.01012335,0.01340042,0.01602387,0.01880503,0.01598663
179,0.8887929,0.46354172,0.28568565,0.0273439,0.01002044,0.01037417,0.01441804,0.01502517,0.01781886,0.01794899
180,0.88667226,0.46061741,0.28501049,0.02545312,0.01105398,0.01084243,0.01359773,0.01654764,0.01817705,0.01581697
181,0.88251256,0.4596297,0.28606695,0.02452746,0.0105814,0.01015285,0.01413033,0.01541067,0.01670109,0.01548263
182,0.88848839,0.46487263,0.28397326,0.02365495,0.00927264,0.01037319,0.01407159,0.01599794,0.01686794,0.01589078
183,0.88508765,0.46109566,0.28488296,0.02565104,0.00891651,0.00923938,0.01261288,0.01661216,0.01686554,0.01587055
184,0.88601546,0.46306051,0.28270713,0.02478896,0.00954916,0.00929574,0.01293083,0.01596319,0.01639169,0.01575683
185,0.88600328,0.46171348,0.28390472,0.02499086,0.00938734,0.00956576,0.01308915,0.01549422,0.01543755,0.01550779
186,0.88100596,0.46137424,0.28414184,0.02319574,0.00938486,0.00969839,0.01124659,0.01506494,0.01566414,0.01477649
187,0.88210188,0.46035487,0.28280535,0.02367548,0.00959816,0.00917422,0.01281831,0.0147841,0.01517507,0.01558
188,0.88509681,0.45969974,0.28071497,0.02303141,0.00994549,0.00765253,0.01281605,0.01596631,0.01558874,0.01557521
189,0.88523011,0.45939497,0.28416773,0.02298861,0.00906837,0.0084895,0.01245016,0.01430513,0.01538934,0.01362596
190,0.88433371,0.45495717,0.27626182,0.02256967,0.00835493,0.0088003,0.01116039,0.01206966,0.01462718,0.01438634
191,0.88214479,0.45831699,0.27982891,0.02293519,0.01069138,0.0078066,0.01136841,0.01363587,0.01555026,0.01417265
192,0.87830733,0.45631538,0.27524746,0.0206638,0.00781236,0.00837828,0.0123467,0.01452629,0.01396796,0.01459471
193,0.8868273,0.45992867,0.28019616,0.0237312,0.00902477,0.00720394,0.01297455,0.01404272,0.01469818,0.0134226
194,0.88632443,0.46100219,0.28148498,0.02463953,0.00922559,0.00837578,0.0112573,0.01375088,0.01451628,0.01468128
195,0.88283078,0.45578669,0.27994748,0.02158793,0.00945228,0.00694804,0.01196993,0.01389016,0.01581508,0.01542612
196,0.88208691,0.45415319,0.2770931,0.02360482,0.00882842,0.00771896,0.01295742,0.01368438,0.01513605,0.01413582
197,0.88042455,0.45550184,0.27718024,0.02238899,0.00914801,0.00890871,0.01209634,0.01363685,0.01453864,0.01392663
198,0.88039241,0.45449614,0.27794909,0.02187681,0.0084574,0.00906996,0.01039006,0.01385826,0.0163023,0.01392785
199,0.87987551,0.45533333,0.27684354,0.02286806,0.00911618,0.0080937,0.01236953,0.01348416,0.01416675,0.01459833
200,0.88690309,0.45892431,0.28155774,0.02297654,0.00862548,0.00929837,0.01092858,0.01387031,0.01519046,0.01321058
