epoch,gelu_s_sigma0.01_train_loss,gelu_s_sigma0.05_train_loss,gelu_s_sigma0.1_train_loss,gelu_s_sigma0.5_train_loss,gelu_s_sigma1.0_train_loss,gelu_s_sigma5.0_train_loss,gelu_s_sigma10.0_train_loss,gelu_s_sigma50.0_train_loss,gelu_s_sigma100.0_train_loss,gelu_s_sigma1000.0_train_loss
155,0.05034716,0.04843388,0.04763555,0.01242829,0.00324416,0.00598307,0.00818794,0.00840594,0.00911848,0.00633472
156,0.04705792,0.04676021,0.04343348,0.01231582,0.00242104,0.00864167,0.00763884,0.00788785,0.00797962,0.00570705
157,0.04267942,0.04618931,0.04599478,0.01164958,0.0031082,0.00452098,0.00692657,0.00834276,0.00738356,0.00671528
158,0.04574904,0.04392628,0.04387547,0.01141049,0.00346411,0.00609998,0.0071035,0.00643598,0.00723419,0.00556526
159,0.0458503,0.04441249,0.04173296,0.01056199,0.00340922,0.00573603,0.00685418,0.00618806,0.00661935,0.00502065
160,0.04221374,0.04536977,0.04105129,0.00957849,0.00305848,0.00573383,0.00681277,0.00533569,0.00638175,0.00491638
161,0.0437926,0.04039774,0.04071757,0.00891967,0.00279295,0.00500057,0.00498788,0.00623212,0.0061207,0.0054488
162,0.0397718,0.03787242,0.04220003,0.00827135,0.00264131,0.00439819,0.00659816,0.00534245,0.00533151,0.00466706
163,0.03966594,0.03730664,0.03803286,0.00808035,0.00155442,0.00490173,0.00571591,0.00527243,0.004923,0.00509505
164,0.03711578,0.03618562,0.03706283,0.00673575,0.00261059,0.00464341,0.00501879,0.00544794,0.00576236,0.00480571
165,0.0345622,0.0362342,0.03704072,0.00707676,0.00215959,0.00434683,0.0048919,0.00465982,0.0051205,0.00354783
166,0.03407363,0.03412467,0.03494779,0.0073989,0.00152692,0.0041119,0.00418951,0.00464871,0.00442389,0.00413091
167,0.03352168,0.0346213,0.03388192,0.00687724,0.00162845,0.00324212,0.00406375,0.00509258,0.0049008,0.00469742
168,0.03256235,0.03274057,0.03248011,0.00734089,0.00175411,0.0033508,0.00334534,0.00479705,0.0043101,0.00384048
169,0.03161015,0.03161419,0.03247271,0.00706987,0.00202158,0.00305775,0.00418212,0.00421756,0.00359321,0.00326991
170,0.03131504,0.03108159,0.02929793,0.00660064,0.00113971,0.00334008,0.00353338,0.00329522,0.00335388,0.00364719
171,0.03024415,0.02975535,0.03039552,0.00564506,0.00169886,0.0027576,0.00400844,0.00340741,0.00348717,0.00274143
172,0.03005053,0.02935632,0.02999054,0.00563203,0.00169436,0.003649,0.00389534,0.00334566,0.00344521,0.00331479
173,0.02845739,0.02773271,0.02940112,0.00564295,0.0014611,0.00260405,0.00287674,0.00396973,0.00377806,0.00319984
174,0.02729805,0.02781967,0.02750254,0.00583311,0.0012048,0.0029073,0.00287784,0.00312726,0.0032088,0.00286255
175,0.02678795,0.02720426,0.0273528,0.00548576,0.00096927,0.00258617,0.002841,0.0026636,0.00329108,0.00301376
176,0.02657081,0.02543796,0.02736884,0.00423335,0.00119473,0.00219716,0.00325121,0.00252716,0.00276087,0.00269488
177,0.02596134,0.02447776,0.02400436,0.00384659,0.00070869,0.00221033,0.00319951,0.00270497,0.00316522,0.00236273
178,0.02457068,0.02533842,0.02694291,0.00448103,0.00096144,0.00234253,0.00228694,0.00294433,0.00316577,0.00219608
179,0.02398966,0.02375075,0.02541996,0.00446088,0.00091899,0.00192432,0.00223382,0.00285092,0.00273781,0.00186916
180,0.02378092,0.02347638,0.02594722,0.00461585,0.00099793,0.00177226,0.00225567,0.0026155,0.00279869,0.0027609
181,0.0241409,0.02233426,0.02370731,0.0038508,0.00086923,0.001899,0.00268924,0.00197906,0.00276029,0.00238104
182,0.02219862,0.02274203,0.02337051,0.00447078,0.00076074,0.00136626,0.00236135,0.00262355,0.00210144,0.00211226
183,0.02350174,0.02196804,0.02300873,0.00406277,0.00061576,0.00174943,0.00228512,0.00185436,0.00226409,0.0015691
184,0.02217601,0.02284871,0.02247689,0.00371343,0.00063755,0.0015896,0.00227066,0.00212305,0.00289688,0.00149073
185,0.02168966,0.02178201,0.02426301,0.00349536,0.00057997,0.00171026,0.00204908,0.00233102,0.00186825,0.00199206
186,0.02131188,0.02183535,0.02334204,0.00327128,0.0004984,0.00182016,0.00199637,0.00210829,0.00208676,0.00117808
187,0.02092802,0.02215503,0.02151158,0.00410527,0.00075541,0.00143699,0.00213029,0.00196445,0.00200356,0.00134379
188,0.0214372,0.01966498,0.02140808,0.0028364,0.00069605,0.00164055,0.00197166,0.00213111,0.0021941,0.00142578
189,0.02158621,0.02016279,0.02134723,0.00340107,0.00051813,0.00121434,0.00176564,0.00222805,0.00168802,0.0014984
190,0.02087085,0.019483,0.02034837,0.00352064,0.00040623,0.00168534,0.00194426,0.00168568,0.00209786,0.00167489
191,0.01914833,0.01929011,0.02105943,0.00334621,0.0005263,0.00125177,0.00206795,0.00226881,0.00172294,0.00116149
192,0.02158538,0.01904409,0.02055162,0.00305377,0.00055616,0.00110062,0.00195333,0.00132793,0.00209595,0.00139686
193,0.02059674,0.01983547,0.02058121,0.00290169,0.0005788,0.00130115,0.00161837,0.00165749,0.00181149,0.00147626
194,0.02044156,0.02003453,0.02119904,0.00289716,0.0007111,0.0017503,0.00219852,0.00212109,0.00212458,0.00179518
195,0.01807353,0.0174751,0.02006491,0.00347481,0.00050584,0.00138061,0.00131828,0.00155225,0.00197202,0.0011288
196,0.02026556,0.01973089,0.02134745,0.00276592,0.00059865,0.00172798,0.00227309,0.00161727,0.00199118,0.00118732
197,0.01859456,0.01895156,0.02039586,0.00285346,0.00052878,0.00138252,0.00208497,0.00178565,0.0014994,0.00098421
198,0.01934386,0.01978341,0.01943185,0.00246871,0.00046676,0.00106716,0.00161373,0.00175658,0.00208476,0.0010528
199,0.02213509,0.01923338,0.01861275,0.00294229,0.00039134,0.00156397,0.0016659,0.00189599,0.0015076,0.00117842
200,0.01975945,0.01877036,0.02242725,0.00315719,0.00057764,0.00124653,0.00163293,0.00172373,0.0015152,0.0013746
