epoch,zilu_sigma0.01_train_loss,zilu_sigma0.05_train_loss,zilu_sigma0.1_train_loss,zilu_sigma0.5_train_loss,zilu_sigma1.0_train_loss,zilu_sigma5.0_train_loss,zilu_sigma10.0_train_loss,zilu_sigma50.0_train_loss,zilu_sigma100.0_train_loss,zilu_sigma1000.0_train_loss
177,2.31432868,1.24662475,0.74265087,0.01462952,0.01096063,0.00380279,0.00463977,0.00549607,0.00585073,0.00560441
178,2.30835473,1.2485312,0.74160837,0.01441782,0.01095717,0.00363551,0.00433925,0.00496903,0.00508922,0.00533363
179,2.30719455,1.24675151,0.73895648,0.01390535,0.01243254,0.00373146,0.00469426,0.00497285,0.00581425,0.00569037
180,2.30461516,1.24690899,0.73937375,0.01317229,0.01080625,0.00350432,0.00399851,0.00486307,0.00549785,0.00535776
181,2.31112289,1.2414748,0.73922912,0.01351525,0.01087827,0.00367911,0.00434577,0.00455695,0.00502028,0.00517013
182,2.30731266,1.23719239,0.73486791,0.01205473,0.01080179,0.00341243,0.00372364,0.00497631,0.00448126,0.00501165
183,2.31311793,1.24411487,0.73702625,0.01267598,0.01117102,0.00371565,0.00388126,0.00445438,0.00454918,0.00505909
184,2.31119707,1.23449244,0.73746586,0.0124139,0.01033737,0.00361177,0.00385619,0.00515673,0.00550119,0.00520577
185,2.30898499,1.24333954,0.7373902,0.01272383,0.01008921,0.00378648,0.00414635,0.00487847,0.00516415,0.00577036
186,2.30391354,1.23065498,0.72359702,0.01241608,0.00974656,0.00337057,0.00383894,0.00436146,0.00488644,0.00583879
187,2.30462495,1.23469335,0.73189755,0.0125728,0.0091043,0.00333337,0.00352694,0.00434634,0.00483024,0.00457839
188,2.30600194,1.2399442,0.73624547,0.01079534,0.0099419,0.00290436,0.00388555,0.00437768,0.00451123,0.00439655
189,2.30783234,1.23361571,0.72695956,0.01178396,0.00991416,0.00282875,0.0034303,0.00392226,0.00458866,0.00469803
190,2.2979638,1.22889337,0.72424393,0.01178205,0.00960279,0.00328014,0.00352161,0.00403614,0.0048143,0.00442139
191,2.3027367,1.23203512,0.7302499,0.01127873,0.01043592,0.00316121,0.00353863,0.00457273,0.00409236,0.00513664
192,2.29458597,1.23084152,0.72563736,0.01189581,0.01057301,0.00294363,0.00368524,0.00410557,0.00445897,0.00477682
193,2.29834068,1.22068432,0.72186438,0.01197058,0.00884099,0.00323394,0.00363225,0.00427954,0.0043317,0.0047513
194,2.30061954,1.22554239,0.7196217,0.01053076,0.00954513,0.00284338,0.00363191,0.00378489,0.00458381,0.00463806
195,2.30337386,1.22674071,0.72266391,0.01186581,0.00932364,0.00321877,0.00326181,0.00449682,0.00457516,0.00448704
196,2.29728192,1.22840755,0.7231298,0.01053458,0.00943655,0.00299469,0.0034162,0.00375179,0.0043616,0.00396346
197,2.29832185,1.22885728,0.7233,0.01065747,0.00916352,0.00315327,0.00333726,0.00416349,0.00394189,0.00487227
198,2.30503181,1.22327012,0.71753928,0.01117132,0.00979074,0.00317858,0.0029235,0.00420182,0.00466085,0.00420261
199,2.29806689,1.23010225,0.72071667,0.01177371,0.00917649,0.00289232,0.00374841,0.0041629,0.00468345,0.00458694
200,2.29963247,1.22852223,0.72269896,0.01079155,0.0082353,0.00273357,0.0036956,0.00428177,0.00409846,0.00497857
