epoch,zilu_sigma0.01_train_loss,zilu_sigma0.05_train_loss,zilu_sigma0.1_train_loss,zilu_sigma0.5_train_loss,zilu_sigma1.0_train_loss,zilu_sigma5.0_train_loss,zilu_sigma10.0_train_loss,zilu_sigma50.0_train_loss,zilu_sigma100.0_train_loss,zilu_sigma1000.0_train_loss
172,0.84909695,0.42410406,0.24645914,0.03148554,0.01723,0.01093303,0.01617793,0.0191121,0.01818171,0.01846336
173,0.84665305,0.41944463,0.24049041,0.02914007,0.01674928,0.01055792,0.01345081,0.0173637,0.01740412,0.01920109
174,0.84492178,0.42004855,0.24105315,0.02858332,0.01610201,0.01045908,0.01418459,0.01737655,0.01696336,0.01885067
175,0.84569856,0.41632478,0.24202451,0.02668325,0.01551107,0.01062207,0.01329042,0.01694402,0.01482047,0.01879092
176,0.84677712,0.41727928,0.23764662,0.02711131,0.01713301,0.01093652,0.01447338,0.01645198,0.01544843,0.01721589
177,0.84456861,0.41412552,0.23861388,0.02550136,0.01679037,0.01071793,0.01344371,0.015274,0.01531026,0.01704013
178,0.84474758,0.4148261,0.23552419,0.02534142,0.01419695,0.01052802,0.01281395,0.01859883,0.01614136,0.01694292
179,0.8404147,0.40962004,0.23682948,0.02706059,0.01589605,0.01152191,0.01129456,0.01427104,0.01580251,0.01619307
180,0.84102939,0.41020524,0.23557685,0.02631755,0.0160289,0.01036837,0.01307639,0.01573404,0.01455113,0.01623441
181,0.84032562,0.41241247,0.23527015,0.02596987,0.01504123,0.00929707,0.01229102,0.01456536,0.01589005,0.01597
182,0.84650969,0.41573406,0.23281417,0.02671046,0.01475022,0.00906441,0.01271031,0.01581555,0.01457911,0.01564629
183,0.8430718,0.41172652,0.23498799,0.02409335,0.01431624,0.00961772,0.01187055,0.01504061,0.01419381,0.01665653
184,0.84055361,0.40879784,0.23425513,0.02492024,0.01566154,0.00838013,0.01253102,0.01517829,0.01578571,0.01505879
185,0.84261391,0.40787243,0.23325542,0.025665,0.01429523,0.00873508,0.01204873,0.0145155,0.01419798,0.0149081
186,0.83829805,0.40970917,0.23070043,0.02362469,0.01373198,0.00841003,0.01178874,0.01344133,0.01167533,0.01461581
187,0.8415572,0.40666986,0.23424694,0.02320305,0.01420139,0.0090079,0.01193469,0.01419049,0.0127103,0.01583663
188,0.83765879,0.4082837,0.22781858,0.02357276,0.01259962,0.00725711,0.01030911,0.01528215,0.01257646,0.01520043
189,0.83938458,0.40740349,0.23392387,0.02416586,0.01389796,0.00824616,0.01139592,0.01443267,0.01490214,0.01522377
190,0.83860737,0.4040354,0.22996746,0.0231924,0.01240565,0.0082219,0.0115013,0.01388265,0.01428368,0.01351146
191,0.84313098,0.40712348,0.23025438,0.02252812,0.0119286,0.00795693,0.01175772,0.01459907,0.01368745,0.01333644
192,0.83395396,0.40534228,0.22722517,0.02196302,0.01308527,0.00761316,0.0103886,0.01228605,0.01342754,0.01470996
193,0.84159286,0.4073687,0.22895666,0.02400047,0.01324926,0.00843031,0.01031256,0.01454417,0.01338926,0.01530701
194,0.84098519,0.41047906,0.22953112,0.02343317,0.01230769,0.00775223,0.01139184,0.01283915,0.01363069,0.01459311
195,0.83936773,0.40540448,0.22834838,0.02250583,0.0145277,0.00775946,0.01063739,0.01284375,0.01274845,0.01406585
196,0.84130564,0.40371695,0.22639396,0.02137369,0.01268126,0.00730577,0.01032011,0.01169807,0.01352603,0.01457454
197,0.83478067,0.40603766,0.23005275,0.02149629,0.01351695,0.0087565,0.01039415,0.01383425,0.01310127,0.01487365
198,0.83516982,0.40752846,0.22567319,0.02367909,0.01155742,0.00797779,0.01076259,0.01192049,0.01333975,0.01370285
199,0.83974431,0.40645238,0.22610086,0.02310022,0.01343034,0.00730511,0.01181706,0.01398943,0.01377321,0.01409398
200,0.83959379,0.40663759,0.22821847,0.02216403,0.01308387,0.00708286,0.01191507,0.01306371,0.01376858,0.01432725
